WY,Date,Q_mean
1915,8/2/1915,3250
1915,8/3/1915,2770
1915,8/4/1915,11900
1915,8/5/1915,14700
1915,8/6/1915,9960
1915,8/7/1915,11400
1915,8/8/1915,5870
1915,8/9/1915,4430
1915,8/10/1915,3090
1915,8/11/1915,2160
1915,8/12/1915,3740
1915,8/13/1915,26600
1915,8/14/1915,38800
1915,8/15/1915,10400
1915,8/16/1915,7400
1915,8/17/1915,5870
1915,8/18/1915,5140
1915,8/19/1915,8630
1915,8/20/1915,6620
1915,8/21/1915,5870
1915,8/22/1915,7400
1915,8/23/1915,14200
1915,8/24/1915,9960
1915,8/25/1915,7010
1915,8/26/1915,5140
1915,8/27/1915,3250
1915,8/28/1915,2620
1915,8/29/1915,22800
1915,8/30/1915,35100
1915,8/31/1915,26600
1915,9/1/1915,17900
1915,9/2/1915,13000
1915,9/3/1915,11900
1915,9/4/1915,9060
1915,9/5/1915,28200
1915,9/6/1915,16600
1915,9/7/1915,26600
